t,outcome,"Static(0.5)_belief","Static(0.5)_brier","Static(0.5)_log","Bayes(1,1)_belief","Bayes(1,1)_brier","Bayes(1,1)_log","MLE_belief","MLE_brier","MLE_log"
0,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
1,1,0.5,0.75,-0.693147,0.333333,0.555556,-1.09861,1e-06,2e-06,-13.8155
2,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
3,0,0.5,0.75,-0.693147,0.4,0.84,-0.510826,0.333333,0.888889,-0.405465
4,1,0.5,0.75,-0.693147,0.333333,0.555556,-1.09861,0.25,0.4375,-1.38629
5,1,0.5,0.75,-0.693147,0.428571,0.673469,-0.847298,0.4,0.64,-0.916291
6,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
7,1,0.5,0.75,-0.693147,0.555556,0.802469,-0.587787,0.571429,0.816327,-0.559616
8,1,0.5,0.75,-0.693147,0.6,0.84,-0.510826,0.625,0.859375,-0.470004
9,0,0.5,0.75,-0.693147,0.636364,0.595041,-1.0116,0.666667,0.555556,-1.09861
10,1,0.5,0.75,-0.693147,0.583333,0.826389,-0.538997,0.6,0.84,-0.510826
11,0,0.5,0.75,-0.693147,0.615385,0.621302,-0.955511,0.636364,0.595041,-1.0116
12,0,0.5,0.75,-0.693147,0.571429,0.673469,-0.847298,0.583333,0.659722,-0.875469
13,1,0.5,0.75,-0.693147,0.533333,0.782222,-0.628609,0.538462,0.786982,-0.619039
14,0,0.5,0.75,-0.693147,0.5625,0.683594,-0.826679,0.571429,0.673469,-0.847298
15,0,0.5,0.75,-0.693147,0.529412,0.719723,-0.753772,0.533333,0.715556,-0.76214
16,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
17,1,0.5,0.75,-0.693147,0.473684,0.722992,-0.747214,0.470588,0.719723,-0.753772
18,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
19,0,0.5,0.75,-0.693147,0.52381,0.725624,-0.741937,0.526316,0.722992,-0.747214
20,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
21,1,0.5,0.75,-0.693147,0.521739,0.771267,-0.650588,0.52381,0.773243,-0.646627
22,0,0.5,0.75,-0.693147,0.541667,0.706597,-0.780159,0.545455,0.702479,-0.788457
23,1,0.5,0.75,-0.693147,0.52,0.7696,-0.653926,0.521739,0.771267,-0.650588
24,1,0.5,0.75,-0.693147,0.538462,0.786982,-0.619039,0.541667,0.789931,-0.613104
25,0,0.5,0.75,-0.693147,0.555556,0.691358,-0.81093,0.56,0.6864,-0.820981
26,1,0.5,0.75,-0.693147,0.535714,0.784439,-0.624154,0.538462,0.786982,-0.619039
27,0,0.5,0.75,-0.693147,0.551724,0.6956,-0.802346,0.555556,0.691358,-0.81093
28,1,0.5,0.75,-0.693147,0.533333,0.782222,-0.628609,0.535714,0.784439,-0.624154
29,0,0.5,0.75,-0.693147,0.548387,0.699272,-0.79493,0.551724,0.6956,-0.802346
30,0,0.5,0.75,-0.693147,0.53125,0.717773,-0.757686,0.533333,0.715556,-0.76214
31,1,0.5,0.75,-0.693147,0.515152,0.764922,-0.663294,0.516129,0.765869,-0.661398
32,1,0.5,0.75,-0.693147,0.529412,0.778547,-0.635989,0.53125,0.780273,-0.632523
33,0,0.5,0.75,-0.693147,0.542857,0.705306,-0.782759,0.545455,0.702479,-0.788457
34,0,0.5,0.75,-0.693147,0.527778,0.721451,-0.750306,0.529412,0.719723,-0.753772
35,1,0.5,0.75,-0.693147,0.513514,0.763331,-0.666479,0.514286,0.764082,-0.664976
36,1,0.5,0.75,-0.693147,0.526316,0.775623,-0.641854,0.527778,0.777006,-0.63908
37,1,0.5,0.75,-0.693147,0.538462,0.786982,-0.619039,0.540541,0.788897,-0.615186
38,1,0.5,0.75,-0.693147,0.55,0.7975,-0.597837,0.552632,0.799861,-0.593064
39,0,0.5,0.75,-0.693147,0.560976,0.685306,-0.8232,0.564103,0.681788,-0.830348
40,0,0.5,0.75,-0.693147,0.547619,0.700113,-0.793231,0.55,0.6975,-0.798508
41,0,0.5,0.75,-0.693147,0.534884,0.713899,-0.765468,0.536585,0.712076,-0.769133
42,1,0.5,0.75,-0.693147,0.522727,0.772211,-0.648695,0.52381,0.773243,-0.646627
43,1,0.5,0.75,-0.693147,0.533333,0.782222,-0.628609,0.534884,0.783667,-0.625706
44,1,0.5,0.75,-0.693147,0.543478,0.791588,-0.609766,0.545455,0.793388,-0.606136
45,0,0.5,0.75,-0.693147,0.553191,0.693979,-0.805625,0.555556,0.691358,-0.81093
46,1,0.5,0.75,-0.693147,0.541667,0.789931,-0.613104,0.543478,0.791588,-0.609766
47,1,0.5,0.75,-0.693147,0.55102,0.798417,-0.595983,0.553191,0.800362,-0.592051
48,0,0.5,0.75,-0.693147,0.56,0.6864,-0.820981,0.5625,0.683594,-0.826679
49,1,0.5,0.75,-0.693147,0.54902,0.796617,-0.599621,0.55102,0.798417,-0.595983
50,0,0.5,0.75,-0.693147,0.557692,0.688979,-0.81575,0.56,0.6864,-0.820981
51,1,0.5,0.75,-0.693147,0.54717,0.794945,-0.602996,0.54902,0.796617,-0.599621
52,1,0.5,0.75,-0.693147,0.555556,0.802469,-0.587787,0.557692,0.804364,-0.583948
53,0,0.5,0.75,-0.693147,0.563636,0.682314,-0.829279,0.566038,0.679601,-0.834798
54,0,0.5,0.75,-0.693147,0.553571,0.693559,-0.806476,0.555556,0.691358,-0.81093
55,1,0.5,0.75,-0.693147,0.54386,0.791936,-0.609064,0.545455,0.793388,-0.606136
56,0,0.5,0.75,-0.693147,0.551724,0.6956,-0.802346,0.553571,0.693559,-0.806476
57,0,0.5,0.75,-0.693147,0.542373,0.705832,-0.781701,0.54386,0.704217,-0.784955
58,0,0.5,0.75,-0.693147,0.533333,0.715556,-0.76214,0.534483,0.714328,-0.764606
59,0,0.5,0.75,-0.693147,0.52459,0.724805,-0.743578,0.525424,0.72393,-0.745333
60,0,0.5,0.75,-0.693147,0.516129,0.733611,-0.725937,0.516667,0.733056,-0.727049
61,0,0.5,0.75,-0.693147,0.507937,0.742001,-0.709148,0.508197,0.741736,-0.709676
62,0,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
63,0,0.5,0.75,-0.693147,0.492308,0.757633,-0.67788,0.492063,0.757874,-0.677399
64,0,0.5,0.75,-0.693147,0.484848,0.764922,-0.663294,0.484375,0.765381,-0.662376
65,1,0.5,0.75,-0.693147,0.477612,0.727111,-0.738957,0.476923,0.726391,-0.7404
66,1,0.5,0.75,-0.693147,0.485294,0.735078,-0.723,0.484848,0.734619,-0.723919
67,1,0.5,0.75,-0.693147,0.492754,0.742701,-0.707746,0.492537,0.742482,-0.708185
68,1,0.5,0.75,-0.693147,0.5,0.75,-0.693147,0.5,0.75,-0.693147
69,1,0.5,0.75,-0.693147,0.507042,0.756993,-0.679161,0.507246,0.757194,-0.678758
70,1,0.5,0.75,-0.693147,0.513889,0.763696,-0.665748,0.514286,0.764082,-0.664976
